Operation(ident=0, operation='compare', counter=None, timeout=0, widgets=(<src.widgets.bar_widget.BarWidget object at 0x739653fce0b0>, <src.widgets.bar_widget.BarWidget object at 0x73964850a580>), indexes=(0, 1), numbers=(9, 14), event=<ClockEvent (0.0) callback=<bound method Sort.highlight_bars of <src.sorting.bubble_sort.Bubblesort object at 0x73964843ded0>>>)
Operation(ident=0, operation='compare', counter=None, timeout=0.6, widgets=(<src.widgets.bar_widget.BarWidget object at 0x73964850a580>, <src.widgets.bar_widget.BarWidget object at 0x739648532a50>), indexes=(1, 2), numbers=(14, 23), event=<ClockEvent (0.6) callback=<bound method Sort.highlight_bars of <src.sorting.bubble_sort.Bubblesort object at 0x73964843ded0>>>)
Operation(ident=0, operation='compare', counter=None, timeout=1.2, widgets=(<src.widgets.bar_widget.BarWidget object at 0x739648532a50>, <src.widgets.bar_widget.BarWidget object at 0x739648556f20>), indexes=(2, 3), numbers=(23, 10), event=<ClockEvent (1.2) callback=<bound method Sort.highlight_bars of <src.sorting.bubble_sort.Bubblesort object at 0x73964843ded0>>>)
Operation(ident=0, operation='switch', counter=None, timeout=1.7999999999999998, widgets=(<src.widgets.bar_widget.BarWidget object at 0x739648532a50>, <src.widgets.bar_widget.BarWidget object at 0x739648556f20>), indexes=(2, 3), numbers=(23, 10), event=<ClockEvent (1.7999999999999998) callback=<bound method Sort.switch_bars of <src.sorting.bubble_sort.Bubblesort object at 0x73964843ded0>>>)
Operation(ident=0, operation='compare', counter=None, timeout=2.6999999999999997, widgets=(<src.widgets.bar_widget.BarWidget object at 0x739648556f20>, <src.widgets.bar_widget.BarWidget object at 0x73964857b3f0>), indexes=(3, 4), numbers=(10, 2), event=<ClockEvent (2.6999999999999997) callback=<bound method Sort.highlight_bars of <src.sorting.bubble_sort.Bubblesort object at 0x73964843ded0>>>)
Operation(ident=0, operation='switch', counter=None, timeout=3.3, widgets=(<src.widgets.bar_widget.BarWidget object at 0x739648556f20>, <src.widgets.bar_widget.BarWidget object at 0x73964857b3f0>), indexes=(3, 4), numbers=(10, 2), event=<ClockEvent (3.3) callback=<bound method Sort.switch_bars of <src.sorting.bubble_sort.Bubblesort object at 0x73964843ded0>>>)
Operation(ident=0, operation='compare', counter=None, timeout=4.2, widgets=(<src.widgets.bar_widget.BarWidget object at 0x73964857b3f0>, <src.widgets.bar_widget.BarWidget object at 0x73964859f8c0>), indexes=(4, 5), numbers=(2, 28), event=<ClockEvent (4.2) callback=<bound method Sort.highlight_bars of <src.sorting.bubble_sort.Bubblesort object at 0x73964843ded0>>>)
Operation(ident=0, operation='compare', counter=None, timeout=4.8, widgets=(<src.widgets.bar_widget.BarWidget object at 0x73964859f8c0>, <src.widgets.bar_widget.BarWidget object at 0x73964858f9a0>), indexes=(5, 6), numbers=(28, 11), event=<ClockEvent (4.8) callback=<bound method Sort.highlight_bars of <src.sorting.bubble_sort.Bubblesort object at 0x73964843ded0>>>)
Operation(ident=0, operation='switch', counter=None, timeout=5.3999999999999995, widgets=(<src.widgets.bar_widget.BarWidget object at 0x73964859f8c0>, <src.widgets.bar_widget.BarWidget object at 0x73964858f9a0>), indexes=(5, 6), numbers=(28, 11), event=<ClockEvent (5.3999999999999995) callback=<bound method Sort.switch_bars of <src.sorting.bubble_sort.Bubblesort object at 0x73964843ded0>>>)
Operation(ident=0, operation='compare', counter=None, timeout=6.3, widgets=(<src.widgets.bar_widget.BarWidget object at 0x73964858f9a0>, <src.widgets.bar_widget.BarWidget object at 0x7396485d1e10>), indexes=(6, 7), numbers=(11, 14), event=<ClockEvent (6.3) callback=<bound method Sort.highlight_bars of <src.sorting.bubble_sort.Bubblesort object at 0x73964843ded0>>>)
Operation(ident=0, operation='switch', counter=None, timeout=6.8999999999999995, widgets=(<src.widgets.bar_widget.BarWidget object at 0x73964858f9a0>, <src.widgets.bar_widget.BarWidget object at 0x7396485d1e10>), indexes=(6, 7), numbers=(11, 14), event=<ClockEvent (6.8999999999999995) callback=<bound method Sort.switch_bars of <src.sorting.bubble_sort.Bubblesort object at 0x73964843ded0>>>)
Operation(ident=0, operation='compare', counter=None, timeout=7.8, widgets=(<src.widgets.bar_widget.BarWidget object at 0x7396485d1e10>, <src.widgets.bar_widget.BarWidget object at 0x7396485f22e0>), indexes=(7, 8), numbers=(14, 19), event=<ClockEvent (7.8) callback=<bound method Sort.highlight_bars of <src.sorting.bubble_sort.Bubblesort object at 0x73964843ded0>>>)
Operation(ident=0, operation='switch', counter=None, timeout=8.4, widgets=(<src.widgets.bar_widget.BarWidget object at 0x7396485d1e10>, <src.widgets.bar_widget.BarWidget object at 0x7396485f22e0>), indexes=(7, 8), numbers=(14, 19), event=<ClockEvent (8.4) callback=<bound method Sort.switch_bars of <src.sorting.bubble_sort.Bubblesort object at 0x73964843ded0>>>)
Operation(ident=0, operation='compare', counter=None, timeout=9.3, widgets=(<src.widgets.bar_widget.BarWidget object at 0x7396485f22e0>, <src.widgets.bar_widget.BarWidget object at 0x73964840e7b0>), indexes=(8, 9), numbers=(19, 27), event=<ClockEvent (9.3) callback=<bound method Sort.highlight_bars of <src.sorting.bubble_sort.Bubblesort object at 0x73964843ded0>>>)
Operation(ident=0, operation='switch', counter=None, timeout=9.9, widgets=(<src.widgets.bar_widget.BarWidget object at 0x7396485f22e0>, <src.widgets.bar_widget.BarWidget object at 0x73964840e7b0>), indexes=(8, 9), numbers=(19, 27), event=<ClockEvent (9.9) callback=<bound method Sort.switch_bars of <src.sorting.bubble_sort.Bubblesort object at 0x73964843ded0>>>)
Operation(ident=0, operation='compare', counter=None, timeout=10.8, widgets=(<src.widgets.bar_widget.BarWidget object at 0x739653fce0b0>, <src.widgets.bar_widget.BarWidget object at 0x73964850a580>), indexes=(0, 1), numbers=(9, 14), event=<ClockEvent (10.8) callback=<bound method Sort.highlight_bars of <src.sorting.bubble_sort.Bubblesort object at 0x73964843ded0>>>)
Operation(ident=0, operation='compare', counter=None, timeout=11.4, widgets=(<src.widgets.bar_widget.BarWidget object at 0x73964850a580>, <src.widgets.bar_widget.BarWidget object at 0x739648532a50>), indexes=(1, 2), numbers=(14, 23), event=<ClockEvent (11.4) callback=<bound method Sort.highlight_bars of <src.sorting.bubble_sort.Bubblesort object at 0x73964843ded0>>>)
Operation(ident=0, operation='switch', counter=None, timeout=12.0, widgets=(<src.widgets.bar_widget.BarWidget object at 0x73964850a580>, <src.widgets.bar_widget.BarWidget object at 0x739648532a50>), indexes=(1, 2), numbers=(14, 23), event=<ClockEvent (12.0) callback=<bound method Sort.switch_bars of <src.sorting.bubble_sort.Bubblesort object at 0x73964843ded0>>>)
